/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 32, col 6, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|5.0.1 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 48, col 6, Info - This element does not match any known slice defined in the profile http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|5.0.1 (this may not be a problem, but you should check that it's not intended to match a slice) (INFORMATIONAL)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 16, col 81, Error - Canonical URL 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|0.1.0' does not resolve (INVALID)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 32, col 6, Error - Constraint failed: provenance-1: 'onBehalfOf SHALL be present when Provenance.agent.who is a Practitioner or Device' (INVARIANT)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 49, col 8, Info - Reference to draft item http://terminology.hl7.org/CodeSystem/provenance-participant-type|0.1.0 (BUSINESSRULE)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/example-targeted-provenance.json: line 1, col 2, Warning - Profile reference 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-provenance|0.1.0' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/hl7east.json: line 6, col 79, Error - Canonical URL 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-location|0.1.0' does not resolve (INVALID)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/hl7east.json: line 1, col 2, Warning - Profile reference 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-location|0.1.0' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/patient-deceased-example.json: line 6, col 78, Error - Canonical URL 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient|0.1.0' does not resolve (INVALID)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/patient-deceased-example.json: line 25, col 12, Info - The definition for the Code System with URI 'urn:oid:2.16.840.1.113883.6.238' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/patient-deceased-example.json: line 33, col 12, Info - The definition for the Code System with URI 'urn:oid:2.16.840.1.113883.6.238' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/patient-deceased-example.json: line 50, col 12, Info - The definition for the Code System with URI 'urn:oid:2.16.840.1.113883.6.238' doesnt provide any codes so the code cannot be validated (UNKNOWN)
/home/runner/work/Healthedata1-Sandbox/Healthedata1-Sandbox/input/examples/patient-deceased-example.json: line 1, col 2, Warning - Profile reference 'http://hl7.org/fhir/us/core/StructureDefinition/us-core-patient|0.1.0' has not been checked because it could not be found, and the validator is set to not fetch unknown profiles (STRUCTURE)
